i,sigma_hat,m_hat,alpha_hat,sigmaLogError,mLogError,alphaLogError
1099,6.43E-02,1.840860419,1.002210482,-4.248201194,-1.837973591,-6.114544911
1100,6.42E-02,1.790611016,1.004967354,-4.256041304,-1.563561592,-5.304867944
1101,6.45E-02,1.885264233,0.999961559,-4.230355752,-2.165123469,-10.16639126
1102,6.44E-02,1.845428002,1.001982304,-4.23858263,-1.867095286,-6.223495232
1103,6.43E-02,1.787264451,1.005179557,-4.245661801,-1.54770544,-5.263035701
1104,6.43E-02,1.797936193,1.004571029,-4.249385081,-1.599171753,-5.388017038
1105,6.42E-02,1.731841228,1.008534331,-4.254502298,-1.31617604,-4.763658362
1106,6.45E-02,1.812256436,1.003776005,-4.230781511,-1.672678271,-5.579088815
1107,6.45E-02,1.840433399,1.002249977,-4.230584435,-1.835293881,-6.096835224
1108,6.46E-02,1.873850177,1.000525828,-4.229365397,-2.070285003,-7.550536877
1109,6.45E-02,1.864025773,1.001025205,-4.236147803,-1.995289922,-6.882862597
1110,6.43E-02,1.836370594,1.002473594,-4.244234565,-1.810151127,-6.002083276
1111,6.43E-02,1.831493581,1.002736659,-4.250569163,-1.780781434,-5.901017535
1112,6.41E-02,1.798102738,1.00459158,-4.258855683,-1.599996313,-5.383531031
1113,6.41E-02,1.7380904,1.008195954,-4.264756226,-1.339755872,-4.804114623
1114,6.39E-02,1.701307675,1.010592513,-4.272781821,-1.20834125,-4.547607867
1115,6.38E-02,1.694764828,1.011035561,-4.279652421,-1.186672744,-4.50663243
1116,6.37E-02,1.682212977,1.011899612,-4.287314415,-1.146373858,-4.431249524
1117,6.36E-02,1.638236115,1.015081636,-4.294132017,-1.016763531,-4.194277452
1118,6.36E-02,1.632958995,1.015480884,-4.300995733,-1.002281707,-4.168149301
1119,6.35E-02,1.639640956,1.014977387,-4.305237517,-1.020654399,-4.201213743
1120,6.36E-02,1.671417316,1.012658037,-4.300072502,-1.112966771,-4.369462936
1121,6.38E-02,1.727517843,1.008857769,-4.28318067,-1.300182146,-4.726460378
1122,6.38E-02,1.75272555,1.007262003,-4.282305208,-1.397256427,-4.925099604
1123,6.38E-02,1.76719047,1.006375409,-4.284889739,-1.457534628,-5.055306997
1124,6.37E-02,1.757926203,1.006942892,-4.292109093,-1.418512653,-4.970036871
1125,6.37E-02,1.779041925,1.005664058,-4.29280652,-1.509782304,-5.173614679
1126,6.38E-02,1.828671463,1.002823346,-4.283476948,-1.764172296,-5.869832715
1127,6.38E-02,1.862272531,1.001022348,-4.281245745,-1.982478409,-6.885652954
1128,6.49E-02,2.0463937,0.992651903,-4.208589624,-3.070591606,-4.91331395
1129,6.48E-02,1.955922432,0.996492907,-4.21385018,-3.121804278,-5.652967679
1130,6.47E-02,1.972608172,0.995746562,-4.216920722,-3.597510567,-5.460027633
1131,6.52E-02,2.100588638,0.990587679,-4.189173231,-2.296715967,-4.665735731
1132,6.54E-02,2.206438246,0.986969723,-4.17658229,-1.577753962,-4.340479645
1133,6.52E-02,2.150837257,0.988810259,-4.18453627,-1.891553791,-4.492757861
1134,6.54E-02,2.246178782,0.985740289,-4.175985128,-1.401697252,-4.250317114
1135,6.55E-02,2.348803293,0.982839788,-4.169263404,-1.053247146,-4.065161839
1136,6.55E-02,2.414866169,0.981163191,-4.169090448,-0.879799296,-3.971942382
1137,6.54E-02,2.434256946,0.980697122,-4.173178993,-0.834118879,-3.94750106
1138,6.55E-02,2.609323796,0.976940713,-4.163836274,-0.495405468,-3.769686687
1139,6.55E-02,2.655532103,0.976071601,-4.166992498,-0.422308003,-3.732689267
1140,6.55E-02,2.724526885,0.974854542,-4.169303064,-0.32223641,-3.683077989
1141,6.55E-02,2.872858662,0.97252939,-4.168857453,-0.135981636,-3.594638559
1142,6.54E-02,2.755261489,0.974346549,-4.176344716,-0.280691247,-3.663077183
1143,6.53E-02,2.787891436,0.973820449,-4.180466701,-0.23839497,-3.642776662
1144,6.52E-02,2.586127981,0.977422264,-4.188316053,-0.534217115,-3.790790979
1145,6.50E-02,2.489793547,0.979464274,-4.196382314,-0.713771309,-3.885589197
1146,6.49E-02,2.44487585,0.980501827,-4.203731051,-0.809960026,-3.93743451
1147,6.48E-02,2.421677822,0.981061553,-4.21038181,-0.86351371,-3.966561182
1148,6.48E-02,2.441799466,0.980576978,-4.214402429,-0.816899196,-3.94129623
1149,6.47E-02,2.437553638,0.9806798,-4.22009654,-0.82655598,-3.946604098
1150,6.46E-02,2.324598283,0.983597435,-4.227874531,-1.125166913,-4.110317566
1151,6.45E-02,2.235055081,0.986232438,-4.235772467,-1.447935406,-4.285440004
1152,6.43E-02,2.176264077,0.988142156,-4.244056472,-1.735771971,-4.434765698
1153,6.47E-02,2.325514171,0.983576712,-4.220172343,-1.122349281,-4.109054929
1154,6.52E-02,2.579979577,0.977528674,-4.186871943,-0.544762389,-3.795515189
1155,6.51E-02,2.55490675,0.97804818,-4.193310196,-0.588955197,-3.818905214
1156,6.55E-02,2.925539864,0.971705441,-4.168016779,-7.74E-02,-3.565085744
1157,6.54E-02,2.892568792,0.972173974,-4.173970822,-0.11365169,-3.581783519
1158,6.53E-02,2.943677229,0.971457858,-4.177656477,-5.80E-02,-3.556373611
1159,6.56E-02,18.56846034,0.958046644,-4.163494338,2.807500909,-3.171196849
1160,6.55E-02,57.63105726,0.958046833,-4.168106485,4.018741629,-3.171201366
1161,6.56E-02,18.61140773,0.958906283,-4.161878028,2.810089672,-3.191900036
1162,6.57E-02,19.38610843,0.959733785,-4.156203231,2.855671521,-3.21224249
1163,6.55E-02,18.89070314,0.958637021,-4.163887911,2.826763361,-3.185369022
1164,6.58E-02,19.4407652,0.960056349,-4.146703477,2.858810294,-3.220285552
1165,6.57E-02,19.36853,0.959875629,-4.152643664,2.854659948,-3.215771377
1166,6.56E-02,19.49633675,0.958671326,-4.159946841,2.861991531,-3.186198726
1167,6.56E-02,19.18414107,0.95929945,-4.157349033,2.843986928,-3.201513669
1168,6.59E-02,19.56030679,0.960704851,-4.140463025,2.865641059,-3.236654194
1169,6.60E-02,19.73648053,0.961502115,-4.135356025,2.875623565,-3.25715198
1170,6.59E-02,19.52817912,0.960770269,-4.143315932,2.863809821,-3.238320376
1171,6.58E-02,19.52813815,0.960824626,-4.147464292,2.863807484,-3.23970695
1172,6.57E-02,19.15614189,0.959866353,-4.155412371,2.842356237,-3.215540224
